cohort_id,cohort,slice,period_vs_mdl,occp_cod,reporter_label,reporter_group,n_cases,cohort_n_cases,pct_of_cohort
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,CN,Consumer,Consumer,1419,3323,42.70
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,LW,Lawyer,Lawyer,8,3323,0.24
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,(blank),(not reported),Not reported,865,3323,26.03
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,MD,Physician,Healthcare professional,1199,15769,7.60
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,PH,Pharmacist,Healthcare professional,356,15769,2.26
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,HP,Other health professional,Healthcare professional,8,15769,0.05
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,RN,Registered nurse,Healthcare professional,0,15769,0.00
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,OT,Other,Other,0,15769,0.00
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,CN,Consumer,Consumer,119,15769,0.75
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,LW,Lawyer,Lawyer,10,15769,0.06
3,3 SEMAGLUTIDE - all events,2026Q2,post-MDL,(blank),(not reported),Not reported,14077,15769,89.27
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,MD,Physician,Healthcare professional,79,4028,1.96
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,PH,Pharmacist,Healthcare professional,37,4028,0.92
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,HP,Other health professional,Healthcare professional,75,4028,1.86
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,RN,Registered nurse,Healthcare professional,0,4028,0.00
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,OT,Other,Other,0,4028,0.00
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,CN,Consumer,Consumer,2139,4028,53.10
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,LW,Lawyer,Lawyer,862,4028,21.40
4,4 DULAGLUTIDE - all events,ALL QUARTERS,all quarters,(blank),(not reported),Not reported,836,4028,20.75
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,MD,Physician,Healthcare professional,24,945,2.54
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,PH,Pharmacist,Healthcare professional,10,945,1.06
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,HP,Other health professional,Healthcare professional,26,945,2.75
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,RN,Registered nurse,Healthcare professional,0,945,0.00
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,OT,Other,Other,0,945,0.00
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,CN,Consumer,Consumer,819,945,86.67
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,LW,Lawyer,Lawyer,63,945,6.67
4,4 DULAGLUTIDE - all events,2025Q3,pre-MDL,(blank),(not reported),Not reported,3,945,0.32
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),MD,Physician,Healthcare professional,22,801,2.75
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),PH,Pharmacist,Healthcare professional,5,801,0.62
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),HP,Other health professional,Healthcare professional,30,801,3.75
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),RN,Registered nurse,Healthcare professional,0,801,0.00
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),OT,Other,Other,0,801,0.00
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),CN,Consumer,Consumer,628,801,78.40
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),LW,Lawyer,Lawyer,116,801,14.48
4,4 DULAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),(blank),(not reported),Not reported,0,801,0.00
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,MD,Physician,Healthcare professional,10,1278,0.78
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,PH,Pharmacist,Healthcare professional,8,1278,0.63
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,HP,Other health professional,Healthcare professional,19,1278,1.49
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,RN,Registered nurse,Healthcare professional,0,1278,0.00
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,OT,Other,Other,0,1278,0.00
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,CN,Consumer,Consumer,688,1278,53.83
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,LW,Lawyer,Lawyer,400,1278,31.30
4,4 DULAGLUTIDE - all events,2026Q1,post-MDL,(blank),(not reported),Not reported,153,1278,11.97
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,MD,Physician,Healthcare professional,23,1004,2.29
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,PH,Pharmacist,Healthcare professional,14,1004,1.39
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,HP,Other health professional,Healthcare professional,0,1004,0.00
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,RN,Registered nurse,Healthcare professional,0,1004,0.00
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,OT,Other,Other,0,1004,0.00
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,CN,Consumer,Consumer,4,1004,0.40
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,LW,Lawyer,Lawyer,283,1004,28.19
4,4 DULAGLUTIDE - all events,2026Q2,post-MDL,(blank),(not reported),Not reported,680,1004,67.73
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,MD,Physician,Healthcare professional,5407,111673,4.84
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,PH,Pharmacist,Healthcare professional,1734,111673,1.55
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,HP,Other health professional,Healthcare professional,2385,111673,2.14
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,RN,Registered nurse,Healthcare professional,0,111673,0.00
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,OT,Other,Other,0,111673,0.00
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,CN,Consumer,Consumer,63246,111673,56.63
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,LW,Lawyer,Lawyer,1482,111673,1.33
5,5 GLP-1 class - all four molecules,ALL QUARTERS,all quarters,(blank),(not reported),Not reported,37419,111673,33.51
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,MD,Physician,Healthcare professional,1413,31183,4.53
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,PH,Pharmacist,Healthcare professional,333,31183,1.07
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,HP,Other health professional,Healthcare professional,1125,31183,3.61
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,RN,Registered nurse,Healthcare professional,0,31183,0.00
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,OT,Other,Other,0,31183,0.00
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,CN,Consumer,Consumer,28180,31183,90.37
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,LW,Lawyer,Lawyer,98,31183,0.31
